group,smarts,smiles,alpha,beta
alkane,[#6;R0;D2][#6;R0;D2][#6;R0;D2],CCCCCC,0.4,0.3
ketone,[#6][CX3](=O)[#6],CC(C)=O,1.5,5.8
carbamate,[NX3][CX3](=[OX1])[OX2],C(=O)(OC)N,2.8,7.3
alkene,[CX3]=[CX3],C=CC=CC,0.7,1.1
sulfonamide,[#7][#16X4](=[OX1])=[OX1],C[S](N(C)C)(=O)=O,2.8,5.8
ether,[OD2]([#6])[#6],COC,0.9,5.3
aldehyde,[CX3H1](=O)[#6],CC([H])=O,1.6,4.7
amide,[NX3][CX3](=[OX1])[#6],CC(=O)N(C)C,2.9,8.3
furan,[oX2R1]1cccc1,C1=CC=CO1,1.7,2.2
thioether,[#6]S[#6],CSC,1,3.6
thiol,[#16X2H][C],CS[H],1.7,2.7
pyrrole,c1cccn1,C1=CC=C[N]1[H],3,4.1
alkyl_iodide,[I][C],CI,0,2.2
sulfinamide,[OX1]=[SX3][NX3],C[S](=O)N(C)C,3.2,8.3
alkyl_fluoride,[F][C],CF,1.2,2.7
thiophenol,[SX2H]c1ccccc1,C1=CC=C(C=C1)S[H],1.8,2.2
thioamide,[NX3][CX3]=[SX1],CC(N(C)C)=S,3.3,5.8
alkyl_chloride,[Cl][C],CCl,1.3,2.2
nitroalkane,[NX3](=O)(=O)C,CCCN(=O)=O,0,3.7
carboxylic_acid,[#6][CX3](=O)[OX2H1],CC(=O)O[H],3.6,5.3
alkyl_bromide,[Br][C],CBr,1.3,2.2
aryl_chloride,[Cl]c1ccccc1,c1cc([Cl])ccc1,1.3,1.6
aryl_fluoride,[F]c1ccccc1,c1cc([F])ccc1,1.4,1.6
aryl_bromide,[Br]c1ccccc1,c1cc([Br])ccc1,0,1.6
aryl_iodide,[I]c1ccccc1,c1cc([I])ccc1,0,1.6
alkyne,[CX2]#[CX2],C#C,1.9,2.7
ester,[#6][CX3](=O)[OX2H0],C(OC)(C)=O,1.5,5.3
amine,[#7X3],CN(C)C,1.5,7.8
imine,[CX3]=[NX2],C(=NC)(C)C,0,5.8
sulfone,[#16X4](=[OX1])(=[OX1])([#6])[#6],C[S](C)(=O)=O,0,6.3
disulfide,[#6][#16X2H0][#16X2H0][#6],CSSC,0,3.7
phosphinate_diester,O=P(O[#6])(O[#6])[#6],C[P](=O)(OC)OC,0,8.9
sulfate_diester,O=S(O[#6])(O[#6])[#6],C[S](=O)(OC)OC,0,4.7
nitrile,[NX1]#[CX2],CC#N,0,4.7
sulfoxide,[#16X3](=[OX1])([#6])[#6],C[S](C)=O,0,8.9
isothiocyanate,[SX1]=[CX2]=[NX2][#6],CN=C=S,0,2.7
thiocyanate,[NX1]#[CX2][SX2][#6],CSC#N,0,2.7
amidine,[NX3]C(=[NX2])[#6],CC(N(C)C)=NC,0,8.9
phosphine_oxide,O=P([#6])([#6])[#6],C[P](C)(C)=O,0,9.9
benzene,c1ccccc1,C1=CC=CC=C1,1,2.2
urea,[OX1]=[CX3](N)N,C(=O)(N)N,3,8.3
imidazole,[nX3H]1ccnc1,c1[nH]cnc1,3.7,0
phenol,[OX2H]c1ccccc1,C1=CC=C(C=C1)O[H],3.8,2.7
aniline,[NX3H2]c1ccccc1,C1=CC=C(C=C1)N([H])[H],2.1,5.3
pyridine,n1ccccc1,c1cccnc1,1.4,7
alcohol,[#6][OX2H],CO[H],2.7,5.8
